"Ceremony","Award_Name"
"Screen Weekly Awards","Special Tribute"
"Accolade Competition","Award of Excellence Special Mention"
"Catalina Film Festival","Award of Excellence"
"Chandler International Film Festival","Award of Excellence"
"Cinema World Fest Awards","Award of Excellence"
"Cinema World Fest Awards","Cinema World Fest Award"
"Depth of Field International Film Festival Competition","Outstanding Excellence"
"Feel The Reel International Film Festival","February Award"
"Filmmatic Filmmaker Awards","Honorable Mention"
"Fort Worth Indie Film Showcase, US","FWIFS Award"
"International Filmmaker Festival of World Cinema, Nice","Filmmaker Award"
"International Independent Film Awards","Platinum Award"
"International Monthly Film Festival","IMFF Award"
"L.A. Neo Noir Novel, Film & Script Festival","Silver Award"
"LA Shorts Awards","Bronze Award"
"Los Angeles Film Review Independent Film Awards","Gold Award"
"Los Angeles Independent Film Festival Awards","LAIFF June Award"
"Prince of Prestige Academy Award","Paeca"
"Princeton Film Festival","Princeton Film Festival Award"
"Queens World Film Festival","Honorable Mention"
"SENE Film, Music and Art Festival","Film Jury Award"
"Silver Springs International Film Festival","Festival Award"
"Southern Shorts Awards","Award of Distinction"
"The Monthly Film Festival (TMFF)","January Award"
"Castellinaria International Festival of Young Cinema","MiniCastellinaria Award"
"KIDS FIRST! Film Festival","KIDS FIRST! Best Award"
"Memphis Indie Film Festival","Indie Memphis Competiton - Special Jury Prize"
"Pia Film Festival","Jury Prize"
"Cinefan - Festival of Asian and Arab Cinema","Indian Competition Award"
"American Choreography Awards, USA","Governors Award"
"Havana Film Festival","OCIC Award - Special Mention"
"Toulouse Latin America Film Festival","FIPRESCI Prize"
"Asia-Pacific Film Festival","Best Cinematography"
"Alpinale European Film Festival","Golden Unicorn - Children's Fest"
"National Film Awards, India","Nargees Dutt Award"
"Appalachian Film Festival","Festival Award"
"Fukuoka International Film Festival","Kumamoto City Award"
"Fantasia Film Festival","Best Animated Short Film"
"Genie Awards","Outstanding Contributions to the Canadian Film Industry"
"Ale Kino! - International Young Audience Film Festival","Children's Jury Award"
"Cinekid","Cinekid Television Award"
"Nederlands Film Festival","Development Award"
"Nederlands Film Festival","Citroen Audience Award"
"Action on Film International Film Festival, USA","Staff Pick"
"Los Angeles Theatrical Release Competition & Awards","Jury Prize"
"Port Hueneme International Film Festival","Vision Award"
"Temecula Independent Film Festival of the Hollywood and Los Angeles California Wine Country","Best Sci-Fi World Premiere"
"Boston Underground Film Festival","Honorable Mention"
"Raindance Film Festival","Honorable Mention"
"Indian Film Festival of Los Angeles","IFFLA Audience Award"
"Indian Film Festival, Stuttgart","German Star of India"
"Jaipur International Film Festival","Feature Film"
"Stockholm Film Festival","Stockholm Impact Award"
"Wreak Havoc Horror Film Festival","Wreak Havoc Horror Film Festival Award"
"Image Awards","Lifetime Achievement Award"
"New York Comedy Festival","Lifetime Achievement Award"
"Avanca Film Festival","Special Mention - Short Film"
"New York Expo of Short Film","Bronze Award"
"Odense International Film Festival","Jury Personal Prize"
"San Francisco Bay Area International Latino Film Festival","Best Short Narrative"
"Venice Film Festival","Best Short Film - Special Mention"
"Toulouse Cinespaña","Best Director"
"Amiens International Film Festival","Special Mention"
"Ouagadougou Panafrican Film and Television Festival","Bronze Etalon de Yennega"
"Ouagadougou Panafrican Film and Television Festival","European Union Award"
"Ouagadougou Panafrican Film and Television Festival","INALCO Award"
"Ouagadougou Panafrican Film and Television Festival","Baobab Seed Award"
"Bare Bones International Film & Music Festival","Festival Recognition"
"Sitges - Catalonian International Film Festival","Nosferatu Award"
"Art Film Festival","Diploma"
"Honolulu International Festival (II)","Silver Lei Award"
"Montevideo Film Festival for Children and Young People","Best Short Fiction Film"
"First Run Festival","Craft Award"
"TV Land Awards","Anniversary Award"
"Canadian Society of Cinematographers Awards","Cinematographer Award"
"Angers European First Film Festival","Prix UIP Angers (European Short Film)"
"Brest European Short Film Festival","Best Team: Director - Cinematographer"
"Clermont-Ferrand International Short Film Festival","SACD Award"
"New York Expo of Short Film","Gold Award"
"Vila do Conde International Short Film Festival","Audience Award"
"Society of Camera Operators","Historical Shot"
"Cairo International Film Festival","Best Actress"
"Tamil Nadu State Film Awards, India","Special Award"
"Thessaloniki Film Festival","Everyday Life: Transcendence or Reconciliation Award"
"Biografilm Festival","Best Film Unipol Award"
"CPH:DOX","Sound & Vision Award - Honorable Mention"
"CPH:DOX","Danish Dox Award"
"Adelaide Film Festival","10 Evening News International Award"
"Anchorage International Film Festival","Best Short Film"
"Calgary International Film Festival","Best Canadian Short"
"Drama Short Film Festival","Grand Prix"
"Expresion en Corto International Film Festival","SIGNIS Award"
"FIKE - Évora International Short Film Festival","Special Competition Award"
"Locarno International Film Festival","Award of the New York Film Academy"
"Nashville Film Festival","Best Narrative Short"
"New York City Short Film Festival","Festival Award"
"Rhode Island International Film Festival","Director's Choice Award"
"Seattle International Film Festival","Short Film Award - Honorable Mention"
"Seattle International Film Festival","Short Film Competition Special Jury Award"
"Toronto Film Critics Association Awards","20th Anniversary Award for Excellence"
"Venice Film Festival","Arca CinemaGiovani Award"
"Whistler Film Festival","Best Short"
"Full Frame Documentary Film Festival","Kathleen Bryan Edwards Award for Human Rights"
"Granada Film Festival Cines del Sur","Silver Alhambra"
"Ouagadougou Panafrican Film and Television Festival","UNFPA Award"
"Ouagadougou Panafrican Film and Television Festival","Oumarou Ganda Award for the Best First Work"
"Ouagadougou Panafrican Film and Television Festival","Best Short Film"
"Idyllwild International Festival of Cinema","The Juan Ruiz Anchia Award"
"Palm Springs International Film Festival","Maverick Filmmaker Award"
"ASEAN International Film Festival and Awards","AIFFA Award"
"Tampere International Short Film Festival","Diploma of Merit - National Competition"
"Venice Film Festival","International Award - Animated Film"
"Annecy International Animated Film Festival","International Critics' Award"
"Gawad America Awards","Gawad America Award"
"Metro Manila Film Festival","Audience Award"
"Cannes Corporate Media & TV Awards","Dauphin d'Or"
"Pocono Mountains Film Festival","Festival Prize"
"Clermont-Ferrand International Short Film Festival","Procirep's Award"
"G-Phoria Awards","Glow Award"
"St. Louis International Film Festival","Best Documentary Award"
"Telluride Mountainfilm Festival","Best of Festival"
"NORTHWESTFEST International Documentary & Media Arts Festival","Festival Prize"
"Miami Film Festival","Knight Documentary Achievement Award"
"Silverdocs Documentary Festival","WGA Documentary Screenplay Award"
"Hollywood Makeup Artist and Hair Stylist Guild Awards","Barrymore Award"
"Young Artist Awards","Former Child Star Lifetime Achievement Award"
"Castellinaria International Festival of Young Cinema","Best Short"
"Créteil International Women's Film Festival","Canal+ Award"
"Montréal International Children's Film Festival","Special Mention"
"Norwegian Short Film Festival","Dolby Laboratories' Sound Award"
"Oberhausen International Short Film Festival","Prize of the Children's Short Film Competition - Honorable Mention"
"Phoenix Film Festival","Audience Award"
"Key Art Awards","Key Art Award"
"Music City Walk Of Fame","Walk of Fame Star Guitar"
"Boulder International Film Festival","Catalyst Award"
"Millennium Docs Against Gravity","Audience Award"
"Rome Film Fest","IKEA Award"
"Bahamas International Film Festival","New Visions Award"
"Tallinn Black Nights Film Festival","Tridens Award"
"Bombay International Film Festival","Significant Contribution to Indian Cinema"
"Cinemanila International Film Festival","Best Screenplay"
"Screamfest","Audience Award"
"Eugene International Film Festival","Best Youth Theme Feature"
"Harlem International Film Festival","Hi Award"
"San Francisco Black Film Festival","Best Feature"
"Helsinki DocPoint Film Festival","Apollo Award"
"Jussi Awards","Honorable Mention"
"Montecatini Filmvideo - International Short Film Festival","Special Award"
"South Indian International Movie Awards","SIIMA - Telugu"
"Kinofest Lünen","Best Screenplay"
"Locarno International Film Festival","Cinema & Gioventù Jury Prize - Leopards of Tomorrow"
"Williamsburg Independent Film Festival, US","Best Actor"
"Boulder Gay & Lesbian Film Festival","Audience Award"
"Buenos Aires International Festival of Independent Cinema","Human Rights Award - Special Mention"
"Havana Film Festival","Cultural Diversity Award"
"Barcelona International Film Festival","El Rey Award"
"California International Shorts Festival, US","Best Narrative Short"
"Hollywood Film Festival","Jury Prize"
"Rome International Film Festival, USA","R.I.F.F. Jury Award"
"South Dakota Film Festival","Jury Award"
"Göteborg Film Festival","Mai Zetterling Grant"
"Prague One World Film Festival","Czech Radio Award"
"Prague One World Film Festival","Czech Radio Award - Special Citation"
"Seville European Film Festival","Special Mention"
"Sheffield International Documentary Festival","Special Jury Award"
"Paulínia Film Festival","Critics Award"
"Moscow International Film Festival","Kommersant Weekend Prize"
"Seville European Film Festival","Grand Audience Award"
"Camerimage","Best Directorial Debut"
"Salerno International Film Festival","Grand Prix"
"Fribourg International Film Festival","Best Short Film Award"
"Kansas City Filmmakers Jubilee","US/International Award"
"Berlin International Film Festival","Talent Movie of the Week"
"Fukuoka International Film Festival","Audience Award"
"Tacoma Film Festival","Local Audience Award"
"Munich International Documentary Festival (DOK.fest)","SOS-Kinderdörfer Award"
"Almería International Short Film Festival","Audience Award"
"Almería International Short Film Festival","Best Short Film"
"Arcipelago - International Festival of Short Films and New Images","Corto.Web Award"
"Asheville Film Festival","Best Short Film"
"Cleveland International Film Festival","Best Short Film - Audience Choice"
"Festival of Nations, Austria","Silver Bear"
"Montecatini Filmvideo - International Short Film Festival","Plaque of the President of the Italian Republic"
"New Jersey International Festival","Honorable Mention"
"Odense International Film Festival","Best Children's Film"
"Reno Film Festival","Indie Shorts Competition Prize"
"Rhode Island International Film Festival","International Discovery Award"
"Rüsselsheim Filmday","Special Award"
"Split International Festival of New Film","Grand Prix"
"Victoria Independent Film Festival, Australia","Festival Prize"
"Cinema Express Awards, IN","Cinema Express Award - Kannada Film Industry"
"Neuchâtel International Fantastic Film Festival","Mad Movies Award - Special Mention"
"Times of India Film Awards","Hyderabad Times Film Awards"
"Vijay Awards","Jury Award"
"Vijay Awards","Favorite Award"
"Montréal International Festival of Films on Art","Special Mention"
"Tallgrass International Film Festival","Vimeo Audience Award"
"California Film Awards","Diamond Award"
"Taormina International Film Festival","Best Story"
"Kids' Choice Awards, USA","Kids' Choice Award"
"Los Angeles Pan African Film Festival","Best Feature"
"Taormina International Film Festival","TaorminaFilmFest Award"
"Jutra Awards","Golden Ticket"
"Cottbus Film Festival of Young East European Cinema","""""""""Findling"""""""" Award"
"San Sebastián International Film Festival","Kutxa Award"
"São Paulo International Film Festival","Bandeira Paulista Trophy"
"Vilnius International Film Festival","Baltic Gaze Special Mention"
"Vilnius International Film Festival","Baltic Gaze"
"Toronto International Film Festival","Best Canadian First Feature Film - Special Jury Citation"
"Los Angeles Italian Film Awards","Outstanding Achievement Award"
"Melbourne Underground Film Festival","Best Actress"
"AACTA Awards","AACTA Award"
"Capri, Hollywood","Capri Actor Award"
"Cleveland International Film Festival","Best Ohio Short Film"
"New York City International Film Festival, US","Festival Award"
"Big Easy International Film Festival","Jury Award"
"Miami International Short Film Festival","Best Short Film"
"Washington DC Shorts Film Festival","Audience Award"
"Tokyo Anime Award","Best Art Direction"
"Anonimul International Independent Film Festival","Best International Short Film"
"Astra Film Festival Sibiu","Festival Prize"
"Athens Panorama of European Cinema","FIPRESCI Prize"
"Cannes Film Festival","Un Certain Regard - A Certain Talent Prize"
"Transilvania International Film Festival","Best Romanian Film"
"Jeonju Film Festival","Woosuk Award - Special Mention"
"Golden Globes, Italy","Special Award 'Stampa Estera'"
"Ischia Global Film & Music Festival","Ischia Master of Cinematic Art Award"
"Lecce Festival of European Cinema","Tribute Plate"
"Los Angeles Italian Film Awards","Lifetime Achievement Award"
"Montecatini Filmvideo - International Short Film Festival","Career Award"
"Montréal World Film Festival","Special Mention of the Jury"
"Taormina International Film Festival","Best Producer"
"Bogota Film Festival","Special Prize"
"Busto Arsizio Film Festival","Animation Days Award"
"Venice Film Festival","Bianchi Award"
"Venice Film Festival","Magic Lantern Award"
"Festival del cinema di Spello","Albero della Vita"
"Kineo Awards, Italy","Kineo Rai Trade Award"
"Berlin Interfilm Festival","Special Mention"
"CineMAiubit - International Student Film Festival","Critics Award"
"CineMAiubit - International Student Film Festival","Audience Award"
"CineMAiubit - International Student Film Festival","Prize for 16 mm Fiction Films"
"Molodist International Film Festival","Special Jury Prize"
"Filmfestival Kitzbuehel","Audience Award"
"Organization of American Historians","Erik Barnouw Award"
"Brazilia Festival of Brazilian Cinema","Audience Award"
"Paris Brazilian Film Festival","Honorable Mention"
"Vitória Cine Vídeo","Audience Award"
"Vitória Cine Vídeo","Feature Film Competition"
"Albuquerque Film & Media Experience","Audience Choice Award"
"Albuquerque Film & Media Experience","Jury Award"
"Sonoma International Film Festival","Audience Choice"
"Zlin Film Festival","Audience Award"
"Zlin Film Festival","Main Prize of the Children's Jury"
"Sochi International Film Festival","Special Jury Diploma"
"Capri, Hollywood","Capri Fiction Award"
"MedFF","Jury Prize"
"Bangkok International Film Festival","Crystal Lens Award"
"Brothers Manaki International Film Festival","Golden Camera 300"
"Brothers Manaki International Film Festival","Audience Award"
"DocAviv Film Festival","Depth of Field Competition"
"International Filmmaker Festival of World Cinema, Milan","Festival Award"
"Acapulco Black Film Festival","Short Film Award"
"Los Angeles Pan African Film Festival","Audience Award"
"San Francisco Black Film Festival","Festival Prize"
"BendFilm Festival","Special Jury Prize"
"Santa Fe Film Festival","Jury Award"
"Jerusalem Film Festival","Best Documentary"
"Palm Beach International Film Festival","Best Short Film"
"British Animation Awards","Children's Choice Award"
"Brazilia Festival of Brazilian Cinema","Special Jury Award"
"Mons International Festival of Love Films","Kodak Award"
"Strasbourg Film Festival (II)","Best Editing"
"Buenos Aires International Festival of Independent Cinema","Human Rights Award"
"Cinéma du Réel","SCAM Award"
"IndieLisboa International Independent Film Festival","World Pulse Award - Special Mention"
"Jihlava International Documentary Film Festival","Special Mention of the Between the Seas Jury"
"Hungarian Film Critics Awards","Lifetime Achievement Award"
"Santa Fe Film Festival","Audience Award"
"Byron Bay International Film Festival","Best Short Film"
"Byron Bay International Film Festival","Best Cinematography"
"Gotham Awards","Breakthrough Award"
"Macau International Movie Festival","Golden Lotus Award"
"American Black Film Festival","Rising Star Award"
"Rebelfest","Audience Award"
"Fort Lauderdale International Film Festival, US","Best Director 1st Feature"
"Tampa International Gay and Lesbian Film Festival","Alan Ira Dusowitz Emerging Filmmaker Award"
"Flagler Film Festival","Festival Prize"
"Polish Film Awards","Audience Award"
"Mestre Mateo Awards","Mestre Mateo"
"Santa Barbara International Film Festival","BAFTA/LA Award"
"Austin Film Critics Association","Breakthrough Artist Award"
"Georgetown Independent Film Festival","Special Jury Prize"
"Georgia Film Critics Association (GFCA)","Breakthrough Award"
"Hong Kong Film Critics Society Awards","Film of Merit"
"Namur International Festival of French-Speaking Film","Best First Screenplay"
"Bluegrass Independent Film Festival","Director's Choice"
"Burbank International Children's Film Festival","Film Award"
"Rhode Island International Film Festival","Honorable Mention"
"Action/Cut Short Film Competition","Grand Prize Short Film Award"
"Celtic Film and Television Festival","Frank Copplestone First Time Director Award"
"Cork International Film Festival","Special Commendation"
"Festival of Fantastic Films, UK","Best Independent Feature Award"
"Malibu Film Festival","Audience Award"
"Rhode Island International Horror Film Festival","Best Director"
"Edinburgh International Film Festival","Best Feature Documentary Award"
"Australian Directors Guild","Michael Carson Award"
"CineVegas International Film Festival","La Próxima Ola Jury Prize"
"Los Angeles Latino International Film Festival","Special Jury Award"
"Montréal World Film Festival","Silver Zenith"
"Fantafestival","Golden Bat"
"Myrtle Beach International Film Festival, US","Honorable Mention"
"New York Expo of Short Film","Silver Award"
"Shanghai International TV Festival","Silver Magnolia Award"
"Tambay Film and Video Festival","Florida Spirit Award"
"UFVA Film Festival","First Prize"
"Festróia - Tróia International Film Festival","SIGNIS Award - Special Mention"
"HardAcre Film Festival","HardAcre Award"
"Rome Film Fest","Best Debut and Second Film Award"
"Dhaka International Film Festival","SIGNIS Award"
"Malaysian Film Festival","Best Director"
"Malaysian Film Festival","Best Story"
"Stockholm Film Festival","Jameson Short Film Award"
"Cleveland International Film Festival","Clover Award"
"Crested Butte Reel Fest","Grand Prix"
"New York VisionFest","Film Competition Award"
"Days of Croatian Film","Jury Prize"
"Napoli Film Festival","Best Film"
"Miami Latin Film Festival","Audience Award"
"Murcia Week of Spanish Cinema","Festival Award"
"Seattle International Film Festival","Ibero American Competition"
"Boston Jewish Film Festival","Audience Award"
"No Dance Film Festival","Grand Jury Award"
"Venice Film Festival","Most Promising New Director"
"Palermo International Sport Film Festival","Award of the National Olympic Academy of Italy"
"Asian American International Film Festival","Excellence in Short Filmmaking Award"
"Bumbershoot 1 Reel Film Festival","Best Live-Action Film"
"Dubrovnik International Film Festival","DIFF Award"
"Filmstock International Film Festival","Concept Award"
"San Francisco Short Film Festival","Best Short Film"
"Toronto Worldwide Short Film Festival","Best Documentary Short"
"Golden Rooster Awards","Special Jury Prize"
"Nantes Three Continents Festival","Special Mention"
"Cognac Festival du Film Policier","L.T.C. Coup de Coeur"
"Ondas Awards","Ondas Award"
"Thessaloniki Film Festival","'Cinema and the City' Award"
"Lleida Latin-American Film Festival","Special Mention"
"Lleida Latin-American Film Festival","Screenplay Award - Special Mention"
"Rhode Island International Horror Film Festival","Directorial Discovery"
"Cabourg Romantic Film Festival","Audience Award"
"Encounters International Film Festival","International Jury Special Mention"
"BAFTA Awards","Lew Grade Award"
"BAFTA Awards","Special Award (Children's)"
"Berlin Interfilm Festival","Short Award"
"Jihlava International Documentary Film Festival","Best Experimental Documentary"
"Rio de Janeiro Curta Cinema","International Competition - Grand Prize"
"Philadelphia Film Festival","Honorable Mention"
"TLVFest - The Tel Aviv International LGBT Film Festival","Jury Prize"
"Brussels Short Film Festival","Jameson Short Film Award"
"New York International Independent Film & Video Festival","Honorable Mention"
"Nantucket Film Festival","Teen Jury Prize"
"Tribeca Film Festival","Tropfest@Tribeca Award"
"Golden Horse Film Festival","NETPAC Award"
"Verona Love Screens Film Festival","Best Artistic Contribution"
"Almería International Short Film Festival","Best National Production"
"Barcelona Curt Ficcions","Yelmo Cineplex Award"
"Barcelona Curt Ficcions","Audience Award"
"FEST Youth Video and Film Festival","Jury Prize"
"Milan Film Festival","Best Short Film"
"Milan Film Festival","Students Jury Award"
"Barcelona Film Awards","International Award"
"Feroz Awards, ES","Honorary Award"
"Annie Awards","Foreign Award"
"Sitges - Catalonian International Film Festival","Best Animated Short Film - Special Mention"
"Buster International Children's Film Festival","Special Mention"
"Tallinn Black Nights Film Festival","Estonian Film Award"
"Uppsala International Short Film Festival","Grand Prix"
"Nashville Film Festival","Bridgestone Narrative Competition"
"South Indian International Movie Awards","Honorary Award"
"Melbourne Queer Film Festival","Jury Award"
"Chinese Film Media Awards","Audience Award"
"Golden Koala Chinese Film Festival","Jury Award"
"Golden Phoenix Awards, China","Golden Phoenix Award"
"Asian Television Awards","Asian Television Award"
"Hamburg Lesbian and Gay Film Festival","Ursula"
"Kingston Reelout Film Festival","Festival Prize"
"Seattle Lesbian & Gay Film Festival","Honorable Mention"
"Sarasota Film Festival","Critics Award"
"Barcelona International Film Festival","Gold Lion Award"
"Canada International Film Festival","Grand Prize"
"Festival international du film alpin des diablerets","Diable d'Or"
"Florence River to River Indian Film Festival","Grand Prize"
"Hollywood MiniDV Festival","Robert Rodriguez Award"
"Honolulu Film Awards, US","Best Feature Film"
"International Film Awards Berlin","Honorable Mention"
"Mexico International Film Festival","Bronze Palm Award"
"Salento International Film Festival","International Competition"
"St. Tropez International Film Festival","Festival Prize"
"Trento Film Festival","Genziana d'Argento"
"Virgin Island International Film Festival","SIlver Venus Award"
"West Coast International Film Festival","Charlie Chaplin Award"
"World Film Awards, Jakarta","Golden World Award"
"Zanzibar International Film Festival","FIPRESCI Prize"
"Malaysian Film Festival","Best Actor"
"Malaysian Film Festival","Best Screenplay"
"Malaysian Film Festival","Best Editing"
"Malaysian Film Festival","Best Original Theme Song"
"Cayman Islands International Film Festival","CayFilm Award"
"Las Vegas International Film Festival","Grand Jury Prize"
"San Luis Obispo International Film Festival","George Sidney Independent Film Competition - Special Jury Prize"
"Vail Film Festival","Audience Award"
"Gérardmer Film Festival","Syfy Jury Prize"
"Television and Radio Industries Club Awards","TRIC Award"
"Camerimage","Krzysztof Kieslowski Award"
"Empire Awards, UK","Legend Award"
"Tribeca Film Festival","Best Documentary Feature"
"Temecula Valley International Film Festival","Honorable Mention"
"Big Water Film Festival","Big Water Film Festival Award"
"Newport International Film Festival, Rhode Island","Student Jury Award - Honorable Mention"
"Hamburg Film Festival","Otto-Sprenger New Talent Award"
"Swansea Bay Film Festival","Festival Prize"
"Monte-Carlo Comedy Film Festival","Special Jury Prize"
"Boston Irish Film Festival","Best Documentary"
"Sweden Fantastic Film Festival","Grand Prize of European Fantasy Short Film in Silver"
"Australian Directors Guild","Career Achievement Award"
"Havana Film Festival","UPEC Cultural Circle Award"
"Bangkok International Film Festival","Special Mention"
"Film Club's The Lost Weekend","Lost Weekend's Most Talked About Movie"
"IndieLisboa International Independent Film Festival","Competição Internacional"
"IndieLisboa International Independent Film Festival","Emerging Cinema"
"Molodist International Film Festival","Sunny Rabbit Prize"
"Riviera International Film Festival","Grand Jury Prize"
"Riviera International Film Festival","Jury Prize"
"Toronto Film Critics Association Awards","Jay Scott Prize"
"Burbank International Film Festival","Best Science Fiction Short Film"
"Encounters International Film Festival","BBC New Filmmakers Award"
"Berlin International Film Festival","UNICRIT Statuette"
"Alcalá de Henares Short Film Festival","Pixel Coop Award - Special Mention"
"Málaga Spanish Film Festival","Critics Award"
"Ourense Independent Film Festival","Canal+ Audience Award"
"CINE Competition","CINE Leadership Award"
"News & Documentary Emmy Awards","Lifetime Achievement Award"
"African Movie Academy Awards","Best Diaspora Feature"
"BronzeLens Film Festival, Atlanta, US","Audience Award for Features"
"BronzeLens Film Festival, Atlanta, US","Festival Award"
"Martha's Vineyard African American Film Festival","HBO Competition Award"
"Martha's Vineyard African American Film Festival","Saatchi & Saatchi NOTHING IS IMPOSSIBLE Producer's Award"
"Martha's Vineyard African American Film Festival","Lincoln Motor Company Audience Award"
"Pan African Film Festival","Audience Favorite Award"
"Williamsburg Brooklyn Film Festival","Grand Chameleon"
"Nevada International Film Festival, US","Gold Reel Award"
"Nevada International Film Festival, US","Platinum Reel Award"
"Rincon International Film Festival, PR","Excellence Award"
"Warsaw International Film Festival","Free Spirit Competition - Special Jury Award"
"Top Shorts Film Festival","Jury Prize"
"Chlotrudis Awards","Gertrudis Award"
"Frameline San Francisco International LGBTQ Film Festival","Frameline Award"
"Provincetown International Film Festival","Excellence in Acting Award"
"Festival du nouveau cinéma","Innovation Award"
"Spirit of Fire","Bronze Taiga"
"Primavera del Cinema Italiano Festival","Best Breakthrough Director"
"New Hampshire Film Festival","Audience Choice Documentary"
"Venice Film Festival","Special Prize"
"Janela do Recife International Film Festival","International Competition Shorts"
"Venice Film Festival","Venice Horizons Award - Special Jury Prize"
"Hamptons International Film Festival","Bubbling Under Award"
"Film Festival Oostende","Taste Of Europe"
"Catalina Film Festival","Zorro Del Oro """"""""Golden Fox"""""""" Award"
"Creative World Awards","Creative World Award"
"Sun Valley Film Festival, US","Best Short Film"
"British Horror Film Festival, UK","Haunted Award"
"Buffalo Dreams Fantastic Film Festival","Festival Prize"
"Miami Gay and Lesbian Film Festival","Emerging Talent in Queer Cinema"
"Cannes Film Festival","Cannes Soundtrack Award"
"Golden Apricot Yerevan International Film Festival","Jury Special Diploma"
"Sitges - Catalonian International Film Festival","José Luis Guarner Critic's Award - Special Mention"
"Montréal World Film Festival","Best Actress"
"Aix-en-Provence International Short Film Festival","Grand Prix"
"Brussels European Film Festival","Young European Jury Award"
"Drama Short Film Festival","Special Jury Prize"
"Rouen Nordic Film Festival","Best Actor"
"Sundance Film Festival","Editing Award"
"Buster International Children's Film Festival","International Jury Awards"
"Cinekid","Cinekid International Lion Jury Award"
"Créteil International Women's Film Festival","Special Mention"
"Vancouver Web Fest","Festival Award"
"International Documentary Association","David L. Wolper Student Documentary Award"
"International Documentary Film Festival of Navarra Punto de Vista","Prize for Best Screenplay"
"BAFTA Awards, Scotland","Outstanding Achievement Award"
"Amsterdam International Documentary Film Festival","Movies That Matter Award"
"Jerusalem Film Festival","FIPRESCI Prize"
"Nuremberg International Human Rights Film Festival","Audience Award"
"Roos Award, Denmark","Roos Award"
"DoubleTake Documentary Film Festival","Audience Award"
"Tromsø International Film Festival","FIPRESCI Prize - Special Mention"
"Prix Europa","Prix Europa Special"
"Royal Television Society, UK","RTS West Television Award"
"Women in Film and TV Awards","WFTV Award"
"Autrans Mountain Film Festival","Grand Prix Cinéma"
"Huelva Latin American Film Festival","Vision Europa Award"
"Cottbus Film Festival of Young East European Cinema","Don Quixote Award - Special Mention"
"Pilsen Film Festival","Czech Film Clubs Association Award"
"Capalbio Cinema","Young People's Award"
"Fan Film Awards","Film Award"
"Los Angeles Cinema Festival of Hollywood, US","Best Screenplay"
"Los Angeles Cinema Festival of Hollywood, US","Best Director"
"Las Palmas Film Festival","Audience Award"
"Hong Kong Film Awards","Special Award"
"Freak Show Horror Film Festival","Jury Award"
"HollyShorts Film Festival","Best Short Film"
"Honolulu Film Awards, US","Aloha Accolade"
"ITVFest","ITVFest Award"
"Las Vegas International Film Festival","Golden Ace Award"
"Louisville LGBT Film Festival","Jury Prize"
"Nevermore Film Festival","Jury Award"
"North Carolina Gay and Lesbian Film Festival","Jury Award"
"Outfest","Grand Jury Award"
"Shorty Awards","Shorty Award"
"Thriller Chiller Film Festival","Festival Prize"
"Toronto Inside Out Lesbian and Gay Film and Video Festival","Best Artistic Achievement in a Short Film or Video"
"Victoria TX Indie Film Fest","Jury Prize"
"Pusan International Film Festival","FIPRESCI Prize - Special Mention"
"Anima Mundi Animation Festival","Jury Award"
"Directors Finders Series, Ireland","Directors Finders Award"
"Kristiansand International Children's Film Festival","EFCA Award"
"National Cartoonist Society","Reuben Award"
"Tokyo Anime Award","Tokyo Metropolitan Governor Prize"
"Tokyo Anime Award","Grand Prize"
"Reykjavik International Film Festival","The Church of Iceland Award"
"Mystfest","Carraro Special Award"
"Cinefan - Festival of Asian and Arab Cinema","Netpac Award"
"Fribourg International Film Festival","Award of the Pestalozzi Children's Village Foundation"
"Australian Film Institute","Open Craft Award"
"Slamdunk Film Festival","Best Director"
"Ashland Independent Film Festival","Gerald Hirschfeld A.S.C. Cinematography Award"
"Hong Kong Asian Film Festival","Independent Spirit Award"
"Grenoble Short Film Festival","Grand Prix"
"Grenoble Short Film Festival","Press Prize"
"Venice Film Festival","Cinema of the Present - Special Jury Award"
"KASHISH Mumbai International Queer Film Festival","Jury Award"
"International Documentary Association","Pare Lorentz Award - Honorable Mention"
"Nashville Film Festival","Best Documentary Feature"
"DOC NYC","Metropolis Grand Jury Prize"
"Montclair Film Festival (MFF)","New Jersey Films Competition"
"Slamdunk Film Festival","Audience Choice Award"
"Royal Television Society, UK","Judges' Award (Craft)"
"Cologne Mediterranean Film Festival","Audience Award"
"Australian Writers' Guild","Monte Miller Award"
"Sydney Film Festival","Award for Australian Short Film"
"ANIMA - Córdoba International Animation Festival","Special Jury Mention"
"ASIFA/East Animation Festival","ASIFA/East Award"
"Be there! Corfu Animation Festival","Audience Award"
"Cinanima","Festival Award"
"Long Island Film Festival","Best of Fest"
"Málaga International Week of Fantastic Cinema","Best Short Film - Foreign"
"Plymouth Independent Film Festival","PIFF Award"
"Williamsburg Independent Film Festival, US","Best Animated Short"
"World Animation Celebration","People's Choice Award"
"Cleveland International Film Festival","Music Movies Competition"
"National Syndicate of Spectacle, Spain","Special Award"
"Almería International Short Film Festival","Best Cinematography"
"Edinburgh International Film Festival","Saltire Society Grierson Award for Short Documentary"
"Royal Television Society Scotland Awards","Royal Television Society Scotland Award"
"Appalachian Film Festival","Governor's Golden Appy"
"Boston International Film Festival","Best Director"
"Coney Island Film Festival","Tillie Award"
"Ft. Lauderdale International Film Festival","Renaissance Award"
"Santa Fe Film Festival","Independent Spirit Award"
"SINY Film Festival (Staten Island New York)","Festival Award"
